,No.,Radical,Pinyin,Meaning,
,179,韭,jiǔ,Leek (a type of vegetable),
,180,音,yīn,Sound,
,181,頁 (页),yè,Page/sheet,
,182,風 (凬, 风),fēng,Wind
,183,飛 (飞),fēi,To fly,
,184,食 (飠, 饣),shí,Food
,185,首,shǒu,Head,
,186,香,xiāng,Fragrance,
,187,馬 (马),mǎ,Horse,
,188,骨,gǔ,Bone,
,189,高,gāo,Tall/high,
,190,髟,biāo,Long hair,
,191,鬥 (斗),dòu,To fight,
,192,鬯,chàng,A type of fragrant rice wine,
,193,鬲,gé,An ancient state,
,194,鬼,guǐ,Ghost,
,195,魚 (鱼),yú,Fish,
,196,鳥 (鸟),niǎo,Bird,
,197,鹵,lǔ,Salt/brine/mineral salt,
,198,鹿,lù,Deer,
,199,麥 (麦),mò,Wheat/barley,
,200,麻,má,Hemp/mourning clothes,
,201,黃,huáng,Yellow,
,202,黍,shǔ,Millet/small sharp leaves,
,203,黑,hēi,Black,
,204,黹,zhǐ,Sewing/embroidery,
,205,黽,méng,Mudfish/frog,
,206,鼎,dǐng,Cauldron/tripod vessel,
,207,鼓,gǔ,Drum,
,208,鼠,shǔ,Rat,
,209,鼻,bí,Nose,
,210,齊 (斉, 齐),qí,Equal/uniform/the state of Qi
,211,齒 (齿, 歯),chǐ,Tooth
,212,龍 (龙),lóng,Dragon/symbolizing the emperor,
,213,龜 (亀, 龟),guī,Turtle
,214,龠,yuè,A type of ancient musical instrument,
